TestName,NrMut,NrMutInvalid,NrMutDouble,ActiveReleased
TestCockroach10214,0,0,0,0
TestCockroach1055,0,0,0,0
TestCockroach10790,0,0,0,0
TestCockroach10790,0,0,0,0
TestCockroach10790,0,0,0,0
TestCockroach10790,0,0,0,0
TestCockroach10790,0,0,0,0
TestCockroach10790,0,0,0,0
TestCockroach13197,0,0,0,0
TestCockroach13755,0,0,0,0
TestCockroach1462,0,0,0,0
TestCockroach1462,0,0,0,0
TestCockroach1462,0,0,0,0
TestCockroach1462,0,0,0,0
TestCockroach16167,0,0,0,0
TestCockroach18101,0,0,0,0
TestCockroach2448,0,0,0,0
TestCockroach2448,0,0,0,0
TestCockroach2448,0,0,0,0
TestCockroach2448,0,0,0,0
TestCockroach2448,0,0,0,0
TestCockroach2448,0,0,0,0
TestCockroach24808,0,0,0,0
TestCockroach25456,0,0,0,0
TestCockroach35073,0,0,0,0
TestCockroach35931,0,0,0,0
TestCockroach3710,0,0,0,0
TestCockroach584,0,0,0,0
TestCockroach6181,0,0,0,0
TestCockroach7504,0,0,0,0
TestCockroach9935,0,0,0,0
TestEtcd10492,0,0,0,0
TestEtcd5509,0,0,0,0
TestEtcd6708,0,0,0,0
TestEtcd6857,0,0,0,0
TestEtcd6857,0,0,0,0
TestEtcd6857,0,0,0,0
TestEtcd6857,0,0,0,0
TestEtcd6857,0,0,0,0
TestEtcd6857,0,0,0,0
TestEtcd,0,0,0,0
TestEtcd,0,0,0,0
TestEtcd,0,0,0,0
TestEtcd7443,0,0,0,0
TestEtcd7492,0,0,0,0
TestEtcd7492,0,0,0,0
TestEtcd7492,0,0,0,0
TestEtcd7492,0,0,0,0
TestEtcd7492,0,0,0,0
TestEtcd7492,0,0,0,0
TestEtcd7902,0,0,0,0
TestGrpc1293,0,0,0,0
TestGrpc1293,0,0,0,0
TestGrpc1293,0,0,0,0
TestGrpc1293,0,0,0,0
TestGrpc1293,0,0,0,0
TestGrpc1353,0,0,0,0
TestGrpc1424,0,0,0,0
TestGrpc1460,0,0,0,0
TestGrpc1460,0,0,0,0
TestGrpc1460,0,0,0,0
TestGrpc1460,0,0,0,0
TestGrpc3017,0,0,0,0
TestGrpc660,0,0,0,0
TestGrpc660,0,0,0,0
TestGrpc660,0,0,0,0
TestGrpc660,0,0,0,0
TestGrpc660,0,0,0,0
TestGrpc795,0,0,0,0
TestGrpc862,0,0,0,0
TestHugo3251,0,0,0,0
TestHugo5379,0,0,0,0
TestHugo5379,0,0,0,0
